subject_id,stack_id,ornt,DICE_EP,HD_EP,ASSD_EP,DICE_IP,HD_IP,ASSD_IP
fCMR_Philips_117,s11,tra,87.5389,2.2361,0.8657,86.7135,2.6004,0.9158
fCMR_Philips_117,s13,cor,79.7947,7.3485,1.4567,79.8314,7.5093,1.4672
fCMR_Philips_117,s15,sag,86.5259,4.0,0.9063,86.2242,4.0376,0.9275
fCMR_Philips_117,s17,oblique,86.0116,4.2426,0.8275,85.2054,4.3431,0.8748
fCMR_Philips_002,s13,tra,93.8975,2.0,0.502,93.3881,2.2261,0.5429
fCMR_Philips_002,s14,cor,93.4491,2.0,0.5329,92.6801,2.0672,0.5958
fCMR_Philips_002,s15,oblique,92.7422,2.4495,0.569,91.7473,2.7428,0.6427
fCMR_Philips_002,s16,tra,91.5584,3.0,0.597,90.3028,3.4645,0.6786
fCMR_Philips_002,s17,cor,83.6316,5.099,1.0962,73.0125,6.2855,1.7477
fCMR_Philips_052,s10,tra,90.7803,3.0,0.6913,90.5752,2.5417,0.6979
fCMR_Philips_052,s11,oblique,83.0704,5.099,1.2666,82.4713,5.5318,1.3205
fCMR_Philips_052,s12,oblique,84.9018,4.0,1.0998,84.2648,4.1483,1.1487
fCMR_Philips_052,s13,oblique,84.0913,3.3166,0.9158,83.7115,3.4363,0.9464
fCMR_Philips_052,s14,oblique,87.1754,3.6056,0.8402,86.258,3.7689,0.8983
fCMR_Philips_123,s14,oblique,76.9236,4.6904,1.893,76.1944,4.6155,1.9447
fCMR_Philips_123,s16,cor,80.7617,5.831,1.4272,80.2629,6.0975,1.4668
fCMR_Philips_123,s17,tra,80.0256,6.0828,1.4745,79.8613,6.099,1.507
fCMR_Philips_079,s12,tra,85.7753,4.0,1.1851,85.6184,3.8117,1.1908
fCMR_Philips_079,s13,oblique,90.3596,2.8284,0.7717,89.8373,2.8213,0.8055
fCMR_Philips_079,s14,cor,81.4771,6.1644,1.3737,73.8919,7.7908,1.8425
fCMR_Philips_079,s15,tra,90.3515,2.2361,0.6814,89.9584,2.3546,0.7022
fCMR_Philips_079,s16,tra,90.3827,2.2361,0.6929,90.1727,2.3972,0.7044
fCMR_Philips_037,s18,oblique,86.7646,3.0,0.8664,86.7832,3.0958,0.8654
fCMR_Philips_037,s21,sag,90.0642,3.0,0.6192,89.6981,2.9657,0.6385
fCMR_Philips_037,s23,oblique,87.6164,4.1829,0.8611,87.3739,4.27,0.8654
fCMR_Philips_037,s24,tra,87.613,3.0,0.7501,87.613,3.091,0.7492
fCMR_Philips_037,s25,tra,72.9385,9.8995,1.943,73.0881,9.3477,1.8869
fCMR_Philips_041,s20,sag,90.3402,2.4495,0.6183,90.0975,2.6398,0.6342
fCMR_Philips_041,s22,tra,83.148,4.1231,1.0761,83.0915,4.147,1.0827
fCMR_Philips_041,s24,cor,84.4837,5.0,1.0692,84.0895,4.9162,1.0961
fCMR_Philips_041,s25,tra,85.9559,2.8284,0.7337,85.4128,2.7455,0.7645
fCMR_Philips_090,s19,tra,88.7756,2.4495,0.7446,88.7887,2.4826,0.7434
fCMR_Philips_090,s21,cor,86.5476,3.1623,0.8285,86.2016,3.2549,0.8519
fCMR_Philips_090,s22,sag,89.0343,3.0,0.7521,88.9551,3.0649,0.7549
fCMR_Philips_090,s23,oblique,85.9343,3.3166,0.8487,86.1027,3.3399,0.8394
fCMR_Philips_114,s24,oblique,88.8259,2.8284,0.7906,88.1306,2.7443,0.828
fCMR_Philips_114,s25,cor,89.669,2.4495,0.7325,89.123,2.5028,0.7657
fCMR_Philips_114,s26,oblique,89.7218,3.4641,0.7259,89.0545,3.5597,0.7686
fCMR_Philips_065,s34,tra,90.9028,2.2361,0.5902,90.6655,2.1371,0.6051
fCMR_Philips_065,s35,sag,91.3084,2.0,0.5469,90.5764,2.6685,0.6132
fCMR_Philips_065,s36,cor,89.2613,2.4495,0.7255,88.9749,2.7269,0.7446
fCMR_Philips_132,s19,tra,84.822,2.8284,1.1585,84.4755,2.7526,1.1845
fCMR_Philips_132,s21,cor,81.5961,5.0,1.3247,81.181,5.0761,1.3576
fCMR_Philips_132,s22,sag,79.5818,5.0,1.4417,79.3137,5.0972,1.4601
fCMR_Philips_132,s23,oblique,80.1124,5.1962,1.2926,79.2785,5.7648,1.3723
fCMR_Philips_031,s25,tra,87.5334,2.2361,0.8719,87.5461,2.3641,0.8694
fCMR_Philips_031,s26,sag,88.5589,3.1623,0.8247,88.1337,3.3763,0.8551
fCMR_Philips_031,s27,cor,87.1026,4.4721,0.8575,86.7237,4.5195,0.9005
fCMR_Philips_104,s39,tra,87.4075,2.0,0.6729,87.0232,2.2129,0.6871
fCMR_Philips_104,s40,oblique,89.423,2.2361,0.7043,88.205,2.5157,0.7689
fCMR_Philips_104,s41,oblique,88.8875,3.0,0.7295,87.703,3.2064,0.8153
fCMR_Philips_104,s42,oblique,86.402,2.8284,0.7744,85.5819,2.8447,0.8245
fCMR_Philips_094,s26,tra,92.2782,2.0,0.6496,91.6115,2.0,0.699
fCMR_Philips_094,s27,sag,93.4141,2.0,0.5444,92.7408,2.0,0.5901
fCMR_Philips_094,s28,cor,93.5046,2.0,0.5124,92.8729,2.0944,0.5565
fCMR_Philips_094,s29,oblique,93.1644,1.7321,0.4633,92.3641,2.3455,0.5115
fCMR_Philips_136,s19,tra,85.0383,3.0,1.112,84.8505,3.0,1.1237
fCMR_Philips_136,s20,sag,88.9544,2.2361,0.77,88.5245,2.3417,0.8015
fCMR_Philips_136,s21,cor,89.1216,2.8284,0.7998,88.769,2.9617,0.8268
fCMR_Philips_136,s22,cor,89.8421,2.2361,0.6701,89.3403,2.4316,0.7042
fCMR_Philips_136,s23,oblique,89.9262,2.2361,0.6915,89.6096,2.3215,0.7056
fCMR_Philips_087,s33,tra,85.7643,4.1231,1.0251,85.2477,4.2193,1.0559
fCMR_Philips_087,s34,oblique,75.617,17.9165,2.8437,74.3867,15.6201,2.9055
fCMR_Philips_087,s35,cor,84.0564,5.6569,1.1379,83.5825,5.4781,1.1746
fCMR_Philips_087,s36,tra,81.6805,6.7412,1.2688,80.2045,9.2786,1.5585
fCMR_Philips_003,s20,tra,85.5676,2.2361,1.1545,84.8768,2.3972,1.1819
fCMR_Philips_003,s21,oblique,88.4834,3.0,0.762,87.4478,3.0325,0.8271
fCMR_Philips_003,s22,oblique,84.7069,3.1623,0.9556,83.2316,3.5221,1.062
fCMR_Philips_003,s23,sag,86.3777,3.6056,0.859,85.9923,3.6215,0.8956
fCMR_Philips_003,s24,oblique,89.5022,2.0,0.6341,87.534,2.6562,0.7422
fCMR_Philips_047,s23,tra,84.9336,5.0,1.2187,83.9126,5.1499,1.2896
fCMR_Philips_047,s24,sag,88.5433,3.3166,0.8028,85.6462,4.3042,1.0017
fCMR_Philips_047,s25,cor,73.8398,9.8995,2.0544,69.1981,10.0924,2.3316
fCMR_Philips_057,s21,tra,85.1191,3.0,1.1657,84.6677,3.0,1.1967
fCMR_Philips_057,s23,oblique,87.3104,3.0,0.9212,86.7604,3.0325,0.9661
fCMR_Philips_057,s25,sag,86.4706,4.4721,0.9547,86.0837,4.4474,0.9873
fCMR_Philips_097,s21,tra,79.3397,7.3485,1.6856,79.3154,7.387,1.6854
fCMR_Philips_097,s22,sag,66.4888,15.1327,3.5578,64.5337,18.4076,4.2196
fCMR_Philips_097,s23,cor,83.1937,3.7417,1.2081,82.2934,4.5063,1.3198
fCMR_Philips_097,s24,sag,56.0446,22.2261,5.455,55.6182,22.6652,5.5833
fCMR_Philips_138,s22,oblique,82.544,3.6056,1.2844,82.1265,3.7057,1.3101
fCMR_Philips_138,s23,tra,87.2998,3.0974,0.9781,86.3267,3.5159,1.0588
fCMR_Philips_138,s24,cor,92.2806,1.4142,0.4402,91.4331,1.5414,0.4811
fCMR_Philips_138,s25,sag,87.1019,3.1623,0.9171,86.4431,3.471,0.9616
fCMR_Philips_138,s26,cor,68.6031,8.0623,1.9667,65.7204,7.9459,2.0602
fCMR_Philips_070,s19,tra,82.6258,3.3166,1.4441,82.4369,3.4286,1.4629
fCMR_Philips_070,s20,sag,85.8955,3.0,1.1251,85.3381,3.0869,1.1565
fCMR_Philips_070,s21,cor,81.94,4.6419,1.3598,81.5083,4.532,1.3743
fCMR_Philips_070,s22,tra,85.4204,3.4641,0.9973,84.6416,3.6474,1.0471
fCMR_Philips_068,s36,oblique,81.0645,3.7417,1.4879,80.7492,3.7869,1.5084
fCMR_Philips_068,s37,cor,85.8685,4.1231,0.9553,84.5514,7.432,1.2609
fCMR_Philips_068,s38,oblique,90.3282,1.7321,0.7466,89.1797,2.2287,0.8232
