subject_id,stack_id,ornt,DICE_EP,HD_EP,ASSD_EP,DICE_IP,HD_IP,ASSD_IP
fCMR_Siemens_018,s34,tra,84.127,3,1.0739,83.2069,3.1016,1.1271
fCMR_Siemens_018,s40,sag,75.8163,10.6771,2.2819,74.4323,17.8332,3.3893
fCMR_Siemens_018,s42,tra,73.9803,4,1.9562,73.6835,4.2246,1.9664
fCMR_Siemens_018,s46,sag,76.9862,12.0416,2.0729,76.758,12.1933,2.1371
fCMR_Siemens_187,s79,tra,84.9813,6.4031,1.0749,84.0137,5.8353,1.1119
fCMR_Siemens_187,s80,tra,85.861,4.1231,1.0103,84.7577,5.8429,1.1058
fCMR_Siemens_187,s81,tra,84.2854,5,1.1426,82.2895,6.4767,1.2965
fCMR_Siemens_187,s82,cor,78.6736,6.1644,1.5815,75.0938,7.2118,1.8268
fCMR_Siemens_187,s84,sag,79.2041,9.8995,1.919,77.8606,12.9576,2.2302
fCMR_Siemens_187,s85,sag,80.3992,9.5315,1.7715,78.0211,14.9248,2.3489
fCMR_Siemens_187,s86,oblique,81.3342,10.7703,1.4914,80.1944,10.8584,1.6314
fCMR_Siemens_187,s87,oblique,80.8704,11.7047,1.5972,80.262,11.8888,1.6774
fCMR_Siemens_187,s88,oblique,88.8644,3.6056,0.7487,86.4054,4.2672,0.9246
fCMR_Siemens_187,s89,oblique,90.011,2.4495,0.6235,88.1513,3.6498,0.7914
fCMR_Siemens_011,s60,cor,86.6572,4.5826,0.9102,86.3112,4.7737,0.9375
fCMR_Siemens_011,s61,sag,84.8919,3.1623,0.8268,84.2346,3.6545,0.8887
fCMR_Siemens_011,s64,cor,81.7121,5.7446,1.2619,81.2693,6.4987,1.3498
fCMR_Siemens_011,s65,sag,79.6587,4.899,1.1407,76.6222,14.231,2.773
fCMR_Siemens_130,s70,tra,86.4767,2,0.9053,84.8716,2.2944,1.0214
fCMR_Siemens_130,s71,sag,89.4798,2.8284,0.836,88.8201,2.9322,0.8876
fCMR_Siemens_130,s72,cor,86.3581,5,1.0527,84.461,10.9178,1.7446
fCMR_Siemens_130,s73,tra,86.0932,8.124,1.178,84.7522,8.5149,1.2845
fCMR_Siemens_130,s75,tra,85.616,2.2361,0.9327,84.3764,2.5843,1.02
fCMR_Siemens_130,s76,sag,89.4335,3,0.8053,88.6677,3.3789,0.866
fCMR_Siemens_130,s77,cor,83.4854,4.3589,1.2485,83.4328,4.5291,1.2576
fCMR_Siemens_130,s78,tra,87.8904,8.2462,1.0715,86.6572,7.868,1.1438
fCMR_Siemens_113,s34,tra,86.1448,4.5826,0.9739,86.023,4.7658,0.9847
fCMR_Siemens_113,s35,cor,84.8516,7.3485,1.1796,84.224,8.0245,1.2575
fCMR_Siemens_113,s36,sag,86.3643,5.7446,1.0944,86.066,5.7087,1.1126
fCMR_Siemens_113,s37,cor,88.9913,4.3589,0.751,88.4955,4.6796,0.7899
fCMR_Siemens_113,s38,sag,86.2056,5.7446,1.0675,86.1236,5.613,1.0659
fCMR_Siemens_113,s39,tra,86.1121,4.3589,0.9679,85.8095,4.5277,0.9925
fCMR_Siemens_113,s40,cor,85.6286,7.3485,1.1407,84.6193,7.8764,1.2314
fCMR_Siemens_113,s41,sag,85.3787,6.5574,1.1837,84.8299,6.407,1.2185
fCMR_Siemens_113,s42,cor,85.4271,7.0711,1.1026,85.1299,7.2243,1.1295
fCMR_Siemens_113,s43,sag,86.3009,5,1.0376,85.8892,5.1324,1.0683
