subject_id,stack_id,ornt,DICE_EP,HD_EP,ASSD_EP,DICE_IP,HD_IP,ASSD_IP
fCMR_Siemens_018,s34,tra,80.673,4,1.3341,80.4386,3.9911,1.3497
fCMR_Siemens_018,s40,sag,74.9027,13.7477,2.8296,74.1038,18.1114,3.2176
fCMR_Siemens_018,s42,tra,74.1258,4,1.9441,73.5861,4.097,1.9784
fCMR_Siemens_018,s46,sag,76.6753,11.0454,2.0984,71.5257,28.5235,5.5221
fCMR_Siemens_187,s79,tra,84.8818,5,1.0356,83.5833,5.0387,1.1193
fCMR_Siemens_187,s80,tra,87.081,3.7417,0.8566,85.1964,4.4741,1.002
fCMR_Siemens_187,s81,tra,84.0643,4.5826,1.1045,83.2756,4.8281,1.1619
fCMR_Siemens_187,s82,cor,77.8068,6.4807,1.6545,62.722,38.3252,24.859
fCMR_Siemens_187,s84,sag,79.5836,9.434,1.829,76.784,10.9403,2.15
fCMR_Siemens_187,s85,sag,80.3059,9.1652,1.752,77.6139,10.9806,2.0906
fCMR_Siemens_187,s86,oblique,78.0759,10.4403,1.7896,75.6704,12.8692,2.1434
fCMR_Siemens_187,s87,oblique,77.5465,10.247,1.6542,75.8018,10.4502,1.8426
fCMR_Siemens_187,s88,oblique,68.678,4.2426,1.5897,68.5796,5.046,1.6317
fCMR_Siemens_187,s89,oblique,84.9609,4.6904,1.0288,82.3759,5.0831,1.1618
fCMR_Siemens_011,s60,cor,86.2357,3.7417,0.9323,85.1824,4.5351,1.0227
fCMR_Siemens_011,s61,sag,83.7383,4.1231,0.9232,82.9559,4.7294,1.0148
fCMR_Siemens_011,s64,cor,78.9283,8.775,1.5875,76.3376,20.186,3.8348
fCMR_Siemens_011,s65,sag,76.4551,6,1.4157,76.5274,6.2416,1.4211
fCMR_Siemens_130,s70,tra,84.8078,2.8284,0.9871,83.4014,2.7779,1.0948
fCMR_Siemens_130,s71,sag,87.6224,3,0.9913,87.1762,3.0884,1.0199
fCMR_Siemens_130,s72,cor,84.6764,6.1644,1.2128,84.0726,10.6785,1.5093
fCMR_Siemens_130,s73,tra,85.1377,9.6228,1.3231,84.0826,9.6695,1.397
fCMR_Siemens_130,s75,tra,82.6489,2.4495,1.1062,81.9934,2.888,1.1558
fCMR_Siemens_130,s76,sag,87.3296,3,0.9779,86.8679,2.8454,1.0113
fCMR_Siemens_130,s77,cor,81.5767,6,1.4208,81.1557,11.009,1.7395
fCMR_Siemens_130,s78,tra,87.1979,8.5235,1.1364,85.7921,8.5895,1.2334
fCMR_Siemens_113,s34,tra,78.3624,6.4031,1.5525,79.4303,6.2938,1.4886
fCMR_Siemens_113,s35,cor,79.7476,10.0499,1.6991,79.7256,10.4374,1.7124
fCMR_Siemens_113,s36,sag,85.0031,6.6332,1.2021,84.3106,6.6268,1.2549
fCMR_Siemens_113,s37,cor,86.2923,4.6904,0.8751,86.082,5.3655,0.946
fCMR_Siemens_113,s38,sag,84.407,6,1.1911,83.9793,6.1196,1.2314
fCMR_Siemens_113,s39,tra,78.6406,6.1644,1.5463,79.562,6.2102,1.4812
fCMR_Siemens_113,s40,cor,81.112,9.8489,1.5603,80.6597,9.9506,1.5936
fCMR_Siemens_113,s41,sag,83.0652,7.8102,1.3724,81.7727,7.7331,1.4685
fCMR_Siemens_113,s42,cor,87.3086,5.099,0.8757,86.3604,5.4255,0.9581
fCMR_Siemens_113,s43,sag,85.1674,5,1.0811,84.5918,4.984,1.1367
