subject_id,DICE_EP,HD_EP,ASSD_EP,CD_EP,DICE_IP,HD_IP,ASSD_IP,CD_IP
fCMR_Philips_117,81.1767,4.5826,1.6991,2.8284,79.9527,4.8226,1.8168,2.917
fCMR_Philips_002,86.8603,7.0213,1.5359,2.0,86.8056,5.963,1.5078,2.0
fCMR_Philips_052,88.2618,3.6056,1.2529,2.0,87.9842,3.5629,1.2796,1.6
fCMR_Philips_123,75.6058,5.4772,2.2437,10.7703,74.6924,5.9049,2.335,9.326
fCMR_Philips_079,86.3524,3.0,1.3151,2.8284,85.6942,3.1253,1.3787,3.8474
fCMR_Philips_041,71.3918,5.3852,2.6177,8.2462,71.2405,5.3966,2.6428,8.5732
fCMR_Philips_090,80.0912,4.0,1.7732,4.0,79.5742,3.9613,1.8268,3.8833
fCMR_Philips_114,82.5592,6.0,1.7941,6.0,82.3025,5.7993,1.8209,5.8801
fCMR_Philips_065,87.1262,3.3166,1.2345,4.0,86.4461,3.4344,1.298,2.8944
fCMR_Philips_132,83.2631,7.0711,1.7015,3.4641,82.3675,6.6923,1.7816,4.4766
fCMR_Philips_031,80.8048,4.1231,1.7034,2.8284,79.6777,4.6456,1.8138,3.1513
fCMR_Philips_104,78.2846,4.1231,1.8923,4.0,77.6901,4.9309,1.9816,4.5889
fCMR_Philips_094,86.1552,8.2097,1.6162,2.0,85.528,8.2191,1.6689,2.4971
fCMR_Philips_136,92.1807,2.2361,0.8902,0.0,91.2664,2.5915,0.9842,0.9657
fCMR_Philips_087,84.4106,4.0,1.5099,4.4721,83.7123,4.2527,1.5821,4.9044
fCMR_Philips_003,88.6073,3.1623,1.2202,3.4641,87.8822,3.1993,1.2806,3.8255
fCMR_Philips_047,79.5801,5.9161,2.0899,5.6569,78.8937,6.1657,2.1528,5.8122
fCMR_Philips_057,89.9996,3.0,1.1245,2.8284,89.9122,3.0631,1.1318,2.7899
fCMR_Philips_097,89.0086,5.1962,1.3111,3.4641,88.3397,5.1094,1.3705,3.2098
fCMR_Philips_138,82.1778,4.4721,1.9652,2.8284,81.5545,4.8952,2.0277,3.1572
fCMR_Philips_070,87.7766,3.6056,1.2951,4.4721,86.8836,3.8848,1.3833,4.8336
fCMR_Philips_068,82.8389,5.6569,1.7722,6.0,82.3952,5.5609,1.8096,6.609
